,Date,Open,High,Low,Close
0,06/10/2019 02:00,1.13273,1.13308,1.13273,1.13289
1,06/10/2019 02:01,1.13288,1.13289,1.13277,1.13283
2,06/10/2019 02:02,1.13284,1.13289,1.13282,1.13289
3,06/10/2019 02:03,1.13291,1.13298,1.13288,1.13297
4,06/10/2019 02:04,1.13296,1.13296,1.13282,1.13282
5,06/10/2019 02:05,1.13283,1.13288,1.13282,1.13287
6,06/10/2019 02:06,1.13287,1.13288,1.13277,1.13278
7,06/10/2019 02:07,1.13277,1.13277,1.13252,1.13252
8,06/10/2019 02:08,1.13252,1.13254,1.13247,1.13254
9,06/10/2019 02:09,1.13253,1.13257,1.13253,1.13257
10,06/10/2019 02:10,1.13256,1.13257,1.13229,1.13233
11,06/10/2019 02:11,1.13233,1.1325,1.13233,1.13247
12,06/10/2019 02:12,1.13251,1.13257,1.13251,1.13254
13,06/10/2019 02:13,1.13254,1.13258,1.13253,1.13254
14,06/10/2019 02:14,1.13254,1.13258,1.13253,1.13257
15,06/10/2019 02:15,1.13257,1.13257,1.13247,1.13247
16,06/10/2019 02:16,1.13244,1.13244,1.13226,1.13229
17,06/10/2019 02:17,1.13228,1.13229,1.13218,1.13219
18,06/10/2019 02:18,1.13217,1.13219,1.13217,1.13218
19,06/10/2019 02:19,1.13219,1.13225,1.13219,1.13225
20,06/10/2019 02:20,1.13224,1.13225,1.13222,1.13224
21,06/10/2019 02:21,1.13224,1.13225,1.13224,1.13224
22,06/10/2019 02:22,1.13225,1.13225,1.13221,1.13224
23,06/10/2019 02:23,1.13224,1.13227,1.13224,1.13227
24,06/10/2019 02:24,1.13227,1.13227,1.13225,1.13226
25,06/10/2019 02:25,1.13226,1.13226,1.13217,1.13226
26,06/10/2019 02:26,1.13226,1.13226,1.1322,1.13225
27,06/10/2019 02:27,1.13225,1.13231,1.13224,1.13231
28,06/10/2019 02:28,1.1323,1.1323,1.1323,1.1323
29,06/10/2019 02:29,1.13233,1.13237,1.1322,1.1322
30,06/10/2019 02:30,1.13221,1.13221,1.1322,1.1322
31,06/10/2019 02:31,1.13221,1.13228,1.1322,1.13226
32,06/10/2019 02:32,1.13227,1.13232,1.13225,1.13232
33,06/10/2019 02:33,1.13234,1.13244,1.13234,1.13242
34,06/10/2019 02:34,1.13242,1.13242,1.13241,1.13242
35,06/10/2019 02:35,1.13242,1.13243,1.13235,1.13236
36,06/10/2019 02:36,1.13237,1.13237,1.13228,1.1323
37,06/10/2019 02:37,1.13229,1.13231,1.13225,1.1323
38,06/10/2019 02:38,1.1323,1.13231,1.13228,1.13229
39,06/10/2019 02:39,1.13229,1.13231,1.13224,1.13225
40,06/10/2019 02:40,1.13224,1.13225,1.13221,1.13224
41,06/10/2019 02:41,1.13224,1.13224,1.13224,1.13224
42,06/10/2019 02:42,1.13224,1.13227,1.13224,1.13225
43,06/10/2019 02:43,1.13225,1.1323,1.13224,1.13224
44,06/10/2019 02:44,1.13225,1.13226,1.13224,1.13226
45,06/10/2019 02:45,1.13227,1.13227,1.13224,1.13225
46,06/10/2019 02:46,1.13225,1.1323,1.13224,1.13224
47,06/10/2019 02:47,1.13224,1.13226,1.13224,1.13225
48,06/10/2019 02:48,1.13224,1.13225,1.13224,1.13224
49,06/10/2019 02:49,1.13223,1.13225,1.13218,1.13224
50,06/10/2019 02:50,1.13223,1.13226,1.13219,1.13219
51,06/10/2019 02:51,1.13221,1.13223,1.13212,1.13212
52,06/10/2019 02:52,1.13214,1.13214,1.13205,1.13207
53,06/10/2019 02:53,1.13206,1.13207,1.13184,1.1319
54,06/10/2019 02:54,1.1319,1.1319,1.13177,1.13179
55,06/10/2019 02:55,1.13179,1.13181,1.13178,1.13179
56,06/10/2019 02:56,1.13179,1.13182,1.13173,1.13179
57,06/10/2019 02:57,1.13178,1.13179,1.13177,1.13178
58,06/10/2019 02:58,1.13178,1.13184,1.13178,1.13183
59,06/10/2019 02:59,1.13182,1.13184,1.13168,1.13168
